808
-733.5 1409.5 8.125,359,stand,,,
15 1429 50.0395,211 231,stand,,,
1452 1833 8.125,179,stand,,,
1793 1715 43.125,174 175,stand,,,
857.5 -186 8.125,150 151,stand,,,
664 -1719 18.125,246 247,stand,,,
-794.64 -1549.03 8.125,27 393,stand,,,
-2559 -443 8.125,345 347,stand,,,
-2534 33 8.125,349,stand,,,
-1867 343 8.125,354 355,stand,,,
-2579 1802 16.125,301 384,stand,,,
-1936 1547 12.125,323,stand,,,
-589 2414 106.125,366 367,stand,,,
-971 -395 8.125,21 389,stand,,,
-178 2685 194.125,196,stand,,,
1774 721 4.27951,130,stand,,,
-2887 -1475 8.125,49,stand,,,
-1422 2606 109.954,362,stand,,,
-461 -1100 8.12501,32,stand,,,
1782 -695 8.125,129,stand,,,
747 -916 18.125,240 241,stand,,,
-1160.79 -414.358 -1.88835,13 22 390,stand,,,
-1161.33 -622.313 -1.89106,21 23,stand,,,
-1151.57 -768.589 -0.156355,22 24 388,stand,,,
-1154.46 -993.005 0.69647,23 25 33,stand,,,
-933.982 -1052.76 8.125,24 26,stand,,,
-949.248 -1291.39 8.125,25 27 393,stand,,,
-792.263 -1299.24 20.125,6 26 28,stand,,,
-794.165 -1133.21 20.125,27 29,stand,,,
-794.003 -963.447 16.1824,28 30,stand,,,
-556.367 -976.248 17.625,29 31,stand,,,
-365.805 -981.698 8.125,30 32 263 265,stand,,,
-366.041 -1112.4 8.125,31 18 254,stand,,,
-1349.06 -1003.02 -0.870633,24 34,stand,,,
-1569.63 -950.844 -1.51477,33 35,stand,,,
-1872.64 -950.98 -1.875,34 36,stand,,,
-2053.41 -935.478 1.10497,35 37 54 57,stand,,,
-2053.57 -1185.52 18.125,36 38 39,stand,,,
-1940.41 -1168.65 18.125,37,stand,,,
-2086.25 -1296.81 18.125,37 40,stand,,,
-2237.18 -1312.95 8.125,39 41 48 53,stand,,,
-2286.12 -1491.31 8.125,40 42 44 48,stand,,,
-2310.68 -1667.79 8.125,41 43 46 47,stand,,,
-2341.78 -1926.89 8.125,42 58,stand,,,
-2189.87 -1532.24 8.125,45 41,stand,,,
-2191.34 -1695.77 8.125,44 46,stand,,,
-2230.11 -1805.77 8.125,45 42,stand,,,
-2447.67 -1727.55 8.125,42 48,stand,,,
-2444 -1547.33 8.125,41 47 40,stand,,,
-2776.25 -1303.42 16.125,16 50,stand,,,
-2664.99 -1133.51 8.125,49 51,stand,,,
-2503.45 -1137.95 8.125,50 52,stand,,,
-2469.15 -1240.21 8.125,51 53,stand,,,
-2269.96 -1159.83 8.125,40 54 52 55,stand,,,
-2163.34 -1045.18 7.54781,53 36,stand,,,
-2420.68 -972.45 8.10661,53 56,stand,,,
-2333.7 -808.704 4.71809,55 57 346,stand,,,
-2187.52 -875.832 4.83068,56 36,stand,,,
-2456.14 -1975.33 8.125,59 43,stand,,,
-2654.42 -2013.68 9.87234,58 60 77,stand,,,
-2821.69 -2045.76 10.6709,59 61,stand,,,
-2990.05 -2077.95 8.73036,60 62 75,stand,,,
-3161.82 -2090.99 8.12458,61 63,stand,,,
-3333.47 -2089.79 8.12458,62 64 74,stand,,,
-3504.97 -2085.21 8.16512,63 65,stand,,,
-3675.36 -2068.69 8.63121,64 66,stand,,,
-3842.52 -2030.09 10.8273,65 67,stand,,,
-3879.33 -1973.47 9.54098,66 68,stand,,,
-3879.27 -1802.1 8.11759,67 69,stand,,,
-3879.19 -1631.46 8.11759,68 70,stand,,,
-3761.31 -1591.14 8.11759,69 71,stand,,,
-3590.31 -1594 8.10301,70 72,stand,,,
-3432.04 -1640.73 8.10804,71 73,stand,,,
-3392.65 -1807.48 8.11609,72 74,stand,,,
-3353.89 -1971.55 8.11745,73 63,stand,,,
-2958.6 -2181.86 8.125,61 78,stand,,,
-2694.38 -2287.48 8.125,77 78,stand,,,
-2664.05 -2103.97 8.125,76 59,stand,,,
-2906.3 -2409.05 8.10607,75 76,stand,,,
-2284.58 -468.459 8.12488,80 346,stand,,,
-2261.19 -299.259 8.12474,79 81 329 348,stand,,,
-2193.76 -145.953 8.11894,80 82 328 350,stand,,,
-2100.19 -5.43535 8.11009,81 83 356,stand,,,
-2086 166.618 8.10618,82 84,stand,,,
-2085.32 337.299 8.09836,83 85 354,stand,,,
-2153.66 495.252 8.125,84 86 351,stand,,,
-2196.34 661.118 8.125,85 87,stand,,,
-2208.23 831.49 9.96834,86 88,stand,,,
-2213.26 1003.2 15.5266,87 89 288,stand,,,
-2198.07 1170.33 -0.586526,88 90 308,stand,,,
-2198.96 1323.17 -0.527442,89 91 300,stand,,,
-2279.06 1473.71 12.1251,90 92,stand,,,
-2288.17 1644.89 26.9519,91 93,stand,,,
-2262.3 1814.15 41.6118,92 94,stand,,,
-2237.61 1984.22 53.0189,93 309 387,stand,,,
-1901.09 2062.58 102.762,96 310,stand,,,
-1733.67 2098.5 104.309,95 97,stand,,,
-1564.72 2128.13 105.871,96 98,stand,,,
-1393.7 2128.68 108.228,97 99 362,stand,,,
-1227.41 2095.92 109.095,98 100,stand,,,
-1103.54 1978.61 95.0734,99 101,stand,,,
-962.841 1884.5 89.3888,100 102,stand,,,
-792.564 1864.55 87.3189,101 103 361 372,stand,,,
-627.068 1820.19 95.6912,102 104,stand,,,
-458.826 1821.33 107.81,103 105,stand,,,
-287.553 1837.78 110.427,104 106,stand,,,
-116.151 1841.49 110.942,105 107,stand,,,
54.759 1844.86 112.701,106 108,stand,,,
220.41 1825.71 99.2725,107 109 209,stand,,,
281.561 1667.74 77.5868,108 110,stand,,,
343.975 1509.71 55.7086,109 111 231 399,stand,,,
397.354 1348.52 38.4297,110 112,stand,,,
461.514 1195.54 0.836328,111 113,stand,,,
555.548 1052.73 3.6904,112 114,stand,,,
523.833 884.723 6.28404,113 115,stand,,,
503.681 722.454 6.09894,114 116 158 223,stand,,,
516.284 557.881 -1.95129,115 136,stand,,,
753.17 421.439 -1.875,118 136,stand,,,
924.902 425.427 -1.875,117 119 156 394,stand,,,
1093.32 400.144 -1.73029,118 120,stand,,,
1232.52 305.766 -1.875,119 121 133,stand,,,
1240.71 133.418 -1.875,120 122,stand,,,
1197.56 -30.3419 3.95853,121 123,stand,,,
1195.35 -199.149 4.125,122 124 151,stand,,,
1227.23 -367.852 1.30863,123 125,stand,,,
1232.19 -539.578 -0.954237,124 126,stand,,,
1268.13 -697.261 1.39923,125 127,stand,,,
1468.15 -698.058 8.125,126 128,stand,,,
1639.23 -697.955 8.125,127 129,stand,,,
1703.89 -697.921 8.125,128 19,stand,,,
1696.95 805.034 0.512738,15 131 168,stand,,,
1520.69 829.499 0.862229,130 132 160 167,stand,,,
1447.93 574.445 7.80941,131 133,stand,,,
1357.37 406.179 -0.262991,132 120,stand,,,
335.032 255.499 8.125,135,stand,,,
282.486 356.729 -1.76058,134 136 224,stand,,,
521.146 400.634 -1.70871,135 117 116 139,stand,,,
438.763 92.8946 8.125,138,stand,,,
517.327 149.066 8.125,137 139 140,stand,,,
517.436 289.773 8.125,136 138,stand,,,
634.862 149.771 8.125,138 141 149,stand,,,
644.951 -43.4958 8.125,140 142,stand,,,
692.358 -209.76 8.125,141 143,stand,,,
507.472 -209.518 176.125,142 144,stand,,,
412.562 -142.232 176.125,143 145,stand,,,
639.967 -24.2116 176.125,144 146,stand,,,
639.872 111.297 176.125,145 147 148,stand,,,
568.781 282.875 176.125,146 148,stand,,,
395.125 163.433 176.125,146 147,stand,,,
810.08 150.883 8.125,140 150 394,stand,,,
851.115 -22.0595 8.125,149 4,stand,,,
1052.55 -158.495 7.28503,4 152 123,stand,,,
1051.13 -259.621 7.23774,151 153,stand,,,
1042.17 -370.916 72.125,152 154,stand,,,
929.833 -582.264 72.125,153 155 395,stand,,,
964.845 -787.393 72.125,154,stand,,,
914.741 616.368 -1.67306,118 157,stand,,,
889.267 785.274 8.125,156 158 159 161,stand,,,
682.214 786.25 8.125,157 115,stand,,,
1109.2 789.431 8.125,157 160,stand,,,
